source_node_id	hour	msgs
!49ea4c9c	2026-06-29 11:00:00	22
!49ea4c9c	2026-06-29 12:00:00	44
!49ea4c9c	2026-06-29 13:00:00	16
!49ea4c9c	2026-06-29 14:00:00	18
!49ea4c9c	2026-06-29 15:00:00	12
!49ea4c9c	2026-06-29 16:00:00	20
!49ea4c9c	2026-06-29 17:00:00	12
!49ea4c9c	2026-06-29 18:00:00	14
!49ea4c9c	2026-06-29 19:00:00	20
!49ea4c9c	2026-06-29 20:00:00	18
!49ea4c9c	2026-06-29 21:00:00	18
!49ea4c9c	2026-06-29 22:00:00	8
!49ea4c9c	2026-06-29 23:00:00	12
!49ea4c9c	2026-06-30 00:00:00	24
!49ea4c9c	2026-06-30 01:00:00	6
!49ea4c9c	2026-06-30 02:00:00	20
!49ea4c9c	2026-06-30 03:00:00	22
!49ea4c9c	2026-06-30 04:00:00	10
!49ea4c9c	2026-06-30 05:00:00	14
!49ea4c9c	2026-06-30 06:00:00	24
!49ea4c9c	2026-06-30 07:00:00	12
!49ea4c9c	2026-06-30 08:00:00	20
!49ea4c9c	2026-06-30 09:00:00	22
!49ea4c9c	2026-06-30 10:00:00	20
!49ea4c9c	2026-06-30 11:00:00	14
!49ea4c9c	2026-06-30 12:00:00	8
!49ea4c9c	2026-06-30 13:00:00	10
!49ea4c9c	2026-06-30 14:00:00	22
!49ea4c9c	2026-06-30 15:00:00	16
!49ea4c9c	2026-06-30 16:00:00	16
!49ea4c9c	2026-06-30 17:00:00	10
!49ea4c9c	2026-06-30 18:00:00	20
!49ea4c9c	2026-06-30 19:00:00	12
!49ea4c9c	2026-06-30 20:00:00	14
!49ea4c9c	2026-06-30 21:00:00	22
!49ea4c9c	2026-06-30 22:00:00	12
!49ea4c9c	2026-06-30 23:00:00	24
!49ea4c9c	2026-07-01 00:00:00	16
!49ea4c9c	2026-07-01 01:00:00	18
!49ea4c9c	2026-07-01 02:00:00	20
!49ea4c9c	2026-07-01 03:00:00	16
!49ea4c9c	2026-07-01 04:00:00	12
!49ea4c9c	2026-07-01 05:00:00	16
!49ea4c9c	2026-07-01 06:00:00	18
!49ea4c9c	2026-07-01 07:00:00	16
!49ea4c9c	2026-07-01 08:00:00	4
!49ea4c9c	2026-07-01 09:00:00	24
!49ea4c9c	2026-07-01 10:00:00	16
!49ea4c9c	2026-07-01 11:00:00	10
!49ea4c9c	2026-07-01 12:00:00	18
!49ea4c9c	2026-07-01 13:00:00	10
!49ea4c9c	2026-07-01 14:00:00	12
!49ea4c9c	2026-07-01 15:00:00	14
!49ea4c9c	2026-07-01 16:00:00	6
!49ea4c9c	2026-07-01 17:00:00	8
!49ea4c9c	2026-07-01 18:00:00	12
!49ea4c9c	2026-07-01 19:00:00	16
!49ea4c9c	2026-07-01 20:00:00	40
!49ea4c9c	2026-07-01 21:00:00	14
!49ea4c9c	2026-07-01 22:00:00	8
!49ea4c9c	2026-07-01 23:00:00	4
!49ea4c9c	2026-07-02 00:00:00	40
!49ea4c9c	2026-07-02 01:00:00	20
!49ea4c9c	2026-07-02 02:00:00	16
!49ea4c9c	2026-07-02 03:00:00	16
!49ea4c9c	2026-07-02 04:00:00	30
!49ea4c9c	2026-07-02 05:00:00	10
!49ea4c9c	2026-07-02 06:00:00	18
!49ea4c9c	2026-07-02 07:00:00	16
!49ea4c9c	2026-07-02 08:00:00	10
!49ea4c9c	2026-07-02 09:00:00	16
!49ea4c9c	2026-07-02 10:00:00	16
!49ea4c9c	2026-07-02 11:00:00	18
!49ea4c9c	2026-07-02 12:00:00	16
!49ea4c9c	2026-07-02 13:00:00	16
!49ea4c9c	2026-07-02 14:00:00	14
!49ea4c9c	2026-07-02 15:00:00	26
!49ea4c9c	2026-07-02 16:00:00	12
!49ea4c9c	2026-07-02 17:00:00	20
!49ea4c9c	2026-07-02 18:00:00	10
!49ea4c9c	2026-07-02 19:00:00	12
!49ea4c9c	2026-07-02 20:00:00	12
!49ea4c9c	2026-07-02 21:00:00	20
!49ea4c9c	2026-07-02 22:00:00	20
!49ea4c9c	2026-07-02 23:00:00	22
!49ea4c9c	2026-07-03 00:00:00	8
!49ea4c9c	2026-07-03 01:00:00	14
!49ea4c9c	2026-07-03 02:00:00	18
!49ea4c9c	2026-07-03 03:00:00	10
!49ea4c9c	2026-07-03 04:00:00	12
!49ea4c9c	2026-07-03 05:00:00	6
!49ea4c9c	2026-07-03 06:00:00	18
!49ea4c9c	2026-07-03 07:00:00	18
!49ea4c9c	2026-07-03 08:00:00	12
